company,avg_equity_ratio,avg_debt_ratio,avg_liquidity,equity_volatility
Arboga Bilskrot AB,0.383481136943514,0.616518863056486,1.7448390273592664,0.11441919693197554
Autocirc Svensk Bilåtervinning AB,0.47905664055529085,0.5209433594447092,2.9262155663925022,0.20026912297928015
Bilåtervinning i Tibro AB,0.6719267112132663,0.3280732887867337,3.6115292870444433,0.0628961523738509
Bjuhrs Bil AB,0.5586241626703518,0.44137583732964825,2.3656974969080813,0.06385074756243343
Ekholms Bildemontering AB,0.24006398810530724,0.7599360118946927,1.8817519656259267,0.11540248059044055
Köpings Bildemontering AB,0.32054044329226106,0.6794595567077389,9.015182675962759,0.12036422387345193
Mariestads Bildemontering och Återvinningsteknik AB,0.708768604680166,0.29123139531983394,2.382685377121216,0.05360470963056123
Nya Högåsens Bildemontering AB,0.44092421105574,0.55907578894426,1.6103449434741846,0.050573620639203655
Vingåkers Bilskrot AB,0.2612670789624596,0.7387329210375404,9.310542990982201,0.14036679637539515
Örebro Bildemontering AB,0.8434313398648488,0.15656866013515122,4.073003747728401,0.009133855162348629
