Company,Avg Operating Margin,Operating Margin Vol,Avg Net Margin,Net Margin Vol,Avg Equity Ratio,Equity Ratio Vol,Avg Debt Ratio,Debt Ratio Vol,Avg Liquidity Ratio,Liquidity Ratio Vol,Avg OpEx Ratio,OpEx Vol,Avg Financial Cost Ratio,Financial Cost Vol,Avg Market Share,Market Share Vol,CAGR_21_24
Arboga Bilskrot AB,0.019803118785637792,0.08364865571664223,0.010863842299510387,0.08964640204426094,0.383481136943514,0.11441919693197554,0.616518863056486,0.11441919693197554,1.7448390273592664,0.32902914833642105,-1.060448243884284,0.11566690594350662,-0.00923369082405406,0.00867520295777879,0.024685930073861773,0.003933461548287534,-0.035306827728997736
Autocirc Svensk Bilåtervinning AB,0.15625197739274288,0.12035781402646885,0.16041508407436456,0.12127581101363417,0.47905664055529085,0.20026912297928015,0.5209433594447092,0.20026912297928015,2.9262155663925022,1.2292272807944757,-0.852085702185774,0.11945892749013437,-0.001370058636373171,0.0011545733633958122,0.22000198753319195,0.04323834394935925,-0.05674634248024846
Bilåtervinning i Tibro AB,0.0235554145659553,0.09566082473048876,0.016027625661987645,0.09639600323745744,0.6719267112132663,0.0628961523738509,0.3280732887867337,0.06289615237385093,3.6115292870444433,0.5557831336366204,-0.9956761838779258,0.10758032138526162,-0.007909650538947871,0.0019351446061995695,0.05071308851882187,0.011054685233522559,-0.03417690278772356
Bjuhrs Bil AB,0.06780478829670987,0.08213368084868843,0.06453718642656536,0.08284612856047913,0.5586241626703518,0.06385074756243343,0.44137583732964825,0.06385074756243345,2.3656974969080813,0.2908749828564294,-0.9371230743381507,0.08109086115834764,-0.0033605625386946385,0.0008315685272368267,0.04573438657250613,0.0033081905799778925,0.006557975300770291
Ekholms Bildemontering AB,0.08124149072777766,0.09814262018537312,0.07936801665219473,0.09814375335487587,0.24006398810530724,0.11540248059044055,0.7599360118946927,0.11540248059044048,1.8817519656259267,0.11398562003008336,-0.9944780650120635,0.1318157096090528,-0.0035865290769132923,0.003012009703866713,0.028701099805953752,0.011489914975246788,-0.19534378989098788
Köpings Bildemontering AB,0.07676172360167367,0.11193559097016768,0.06498802478796994,0.11781752080201348,0.32054044329226106,0.12036422387345193,0.6794595567077389,0.12036422387345194,9.015182675962759,6.505702256401262,-0.9289350329241508,0.11098252649797172,-0.011883087386424986,0.0061697607176218194,0.03367147095798481,0.010447746937221305,0.34296516268268196
Mariestads Bildemontering och Återvinningsteknik AB,0.029475065980588425,0.05050463783952663,0.024999034160904002,0.04857320260674381,0.708768604680166,0.05360470963056123,0.29123139531983394,0.053604709630561256,2.382685377121216,0.31054304861794235,-1.0713436812687338,0.06884759476478827,-0.00497063193686908,0.005039832538991525,0.040151716058923856,0.00221983463150773,0.0036496673863617435
Nya Högåsens Bildemontering AB,0.04974298989952674,0.04517930132763399,0.040804705661778164,0.04643658869189385,0.44092421105574,0.050573620639203655,0.55907578894426,0.0505736206392036,1.6103449434741846,0.3053307608911147,-0.9544365410686201,0.047578424000515256,-0.010197316797814115,0.005768547946850917,0.015363922725308569,0.004406317471766928,-0.15702250621962477
Vingåkers Bilskrot AB,0.04675466423105649,0.14477479250445666,0.04609499028732593,0.14433519383670235,0.2612670789624596,0.14036679637539515,0.7387329210375404,0.14036679637539515,9.310542990982201,13.2198984148571,-0.9854545060467902,0.16385211879967068,-0.0008836209778188346,0.0011816064718822219,0.019685040367850744,0.003639143310714743,0.10076412838770032
Örebro Bildemontering AB,0.1404255301903559,0.025313601688702836,0.1811980715051321,0.04561760033271417,0.8434313398648488,0.009133855162348629,0.1565686601351512,0.009133855162348629,4.073003747728401,0.6616903648934667,-0.8689998012402959,0.024188869342779747,-9.676892348311286e-05,6.21135192284428e-05,0.5212913573855965,0.051332312498867674,0.1307003368687254
